,year,vintage,type,dwellings
133,1688,2016-2020,single_attached,0
134,1688,2016-2020,single_detached,0
135,1688,2021-2025,total,0
136,1688,2021-2025,apartments,0
137,1688,2021-2025,mobile,0
138,1688,2021-2025,single_attached,0
139,1688,2021-2025,single_detached,0
140,1692,0-2025,total,1929
141,1692,0-2025,apartments,819
142,1692,0-2025,mobile,5
143,1692,0-2025,single_attached,131
144,1692,0-2025,single_detached,974
145,1692,1608-1920,total,1929
146,1692,1608-1920,apartments,819
147,1692,1608-1920,mobile,5
148,1692,1608-1920,single_attached,131
149,1692,1608-1920,single_detached,974
150,1692,1921-1945,total,0
151,1692,1921-1945,apartments,0
152,1692,1921-1945,mobile,0
153,1692,1921-1945,single_attached,0
154,1692,1921-1945,single_detached,0
155,1692,1946-1960,total,0
156,1692,1946-1960,apartments,0
157,1692,1946-1960,mobile,0
158,1692,1946-1960,single_attached,0
159,1692,1946-1960,single_detached,0
160,1692,1961-1970,total,0
161,1692,1961-1970,apartments,0
162,1692,1961-1970,mobile,0
163,1692,1961-1970,single_attached,0
164,1692,1961-1970,single_detached,0
165,1692,1971-1980,total,0
166,1692,1971-1980,apartments,0
167,1692,1971-1980,mobile,0
168,1692,1971-1980,single_attached,0
169,1692,1971-1980,single_detached,0
170,1692,1981-1990,total,0
171,1692,1981-1990,apartments,0
172,1692,1981-1990,mobile,0
173,1692,1981-1990,single_attached,0
174,1692,1981-1990,single_detached,0
175,1692,1991-1995,total,0
176,1692,1991-1995,apartments,0
177,1692,1991-1995,mobile,0
178,1692,1991-1995,single_attached,0
179,1692,1991-1995,single_detached,0
180,1692,1996-2000,total,0
181,1692,1996-2000,apartments,0
182,1692,1996-2000,mobile,0
183,1692,1996-2000,single_attached,0
184,1692,1996-2000,single_detached,0
185,1692,2001-2005,total,0
186,1692,2001-2005,apartments,0
187,1692,2001-2005,mobile,0
188,1692,2001-2005,single_attached,0
189,1692,2001-2005,single_detached,0
190,1692,2006-2010,total,0
191,1692,2006-2010,apartments,0
192,1692,2006-2010,mobile,0
193,1692,2006-2010,single_attached,0
194,1692,2006-2010,single_detached,0
195,1692,2011-2015,total,0
196,1692,2011-2015,apartments,0
197,1692,2011-2015,mobile,0
198,1692,2011-2015,single_attached,0
199,1692,2011-2015,single_detached,0
200,1692,2016-2020,total,0
201,1692,2016-2020,apartments,0
202,1692,2016-2020,mobile,0
203,1692,2016-2020,single_attached,0
204,1692,2016-2020,single_detached,0
205,1692,2021-2025,total,0
206,1692,2021-2025,apartments,0
207,1692,2021-2025,mobile,0
208,1692,2021-2025,single_attached,0
209,1692,2021-2025,single_detached,0
210,1695,0-2025,total,1934
211,1695,0-2025,apartments,821
212,1695,0-2025,mobile,5
213,1695,0-2025,single_attached,132
214,1695,0-2025,single_detached,976
215,1695,1608-1920,total,1934
216,1695,1608-1920,apartments,821
217,1695,1608-1920,mobile,5
218,1695,1608-1920,single_attached,132
219,1695,1608-1920,single_detached,976
220,1695,1921-1945,total,0
221,1695,1921-1945,apartments,0
222,1695,1921-1945,mobile,0
223,1695,1921-1945,single_attached,0
224,1695,1921-1945,single_detached,0
225,1695,1946-1960,total,0
226,1695,1946-1960,apartments,0
227,1695,1946-1960,mobile,0
228,1695,1946-1960,single_attached,0
229,1695,1946-1960,single_detached,0
230,1695,1961-1970,total,0
231,1695,1961-1970,apartments,0
232,1695,1961-1970,mobile,0
233,1695,1961-1970,single_attached,0
234,1695,1961-1970,single_detached,0
235,1695,1971-1980,total,0
236,1695,1971-1980,apartments,0
237,1695,1971-1980,mobile,0
238,1695,1971-1980,single_attached,0
239,1695,1971-1980,single_detached,0
240,1695,1981-1990,total,0
241,1695,1981-1990,apartments,0
242,1695,1981-1990,mobile,0
243,1695,1981-1990,single_attached,0
244,1695,1981-1990,single_detached,0
245,1695,1991-1995,total,0
246,1695,1991-1995,apartments,0
247,1695,1991-1995,mobile,0
248,1695,1991-1995,single_attached,0
249,1695,1991-1995,single_detached,0
250,1695,1996-2000,total,0
251,1695,1996-2000,apartments,0
252,1695,1996-2000,mobile,0
253,1695,1996-2000,single_attached,0
254,1695,1996-2000,single_detached,0
255,1695,2001-2005,total,0
256,1695,2001-2005,apartments,0
257,1695,2001-2005,mobile,0
258,1695,2001-2005,single_attached,0
259,1695,2001-2005,single_detached,0
260,1695,2006-2010,total,0
261,1695,2006-2010,apartments,0
262,1695,2006-2010,mobile,0
263,1695,2006-2010,single_attached,0
264,1695,2006-2010,single_detached,0
265,1695,2011-2015,total,0
266,1695,2011-2015,apartments,0
267,1695,2011-2015,mobile,0
268,1695,2011-2015,single_attached,0
269,1695,2011-2015,single_detached,0
270,1695,2016-2020,total,0
271,1695,2016-2020,apartments,0
272,1695,2016-2020,mobile,0
273,1695,2016-2020,single_attached,0
274,1695,2016-2020,single_detached,0
275,1695,2021-2025,total,0
276,1695,2021-2025,apartments,0
277,1695,2021-2025,mobile,0
278,1695,2021-2025,single_attached,0
279,1695,2021-2025,single_detached,0
280,1698,0-2025,total,2310
281,1698,0-2025,apartments,981
282,1698,0-2025,mobile,6
283,1698,0-2025,single_attached,157
284,1698,0-2025,single_detached,1166
285,1698,1608-1920,total,2310
286,1698,1608-1920,apartments,981
287,1698,1608-1920,mobile,6
288,1698,1608-1920,single_attached,157
289,1698,1608-1920,single_detached,1166
290,1698,1921-1945,total,0
291,1698,1921-1945,apartments,0
292,1698,1921-1945,mobile,0
293,1698,1921-1945,single_attached,0
294,1698,1921-1945,single_detached,0
295,1698,1946-1960,total,0
296,1698,1946-1960,apartments,0
297,1698,1946-1960,mobile,0
298,1698,1946-1960,single_attached,0
299,1698,1946-1960,single_detached,0
300,1698,1961-1970,total,0
301,1698,1961-1970,apartments,0
302,1698,1961-1970,mobile,0
303,1698,1961-1970,single_attached,0
304,1698,1961-1970,single_detached,0
305,1698,1971-1980,total,0
306,1698,1971-1980,apartments,0
307,1698,1971-1980,mobile,0
308,1698,1971-1980,single_attached,0
309,1698,1971-1980,single_detached,0
310,1698,1981-1990,total,0
311,1698,1981-1990,apartments,0
312,1698,1981-1990,mobile,0
313,1698,1981-1990,single_attached,0
314,1698,1981-1990,single_detached,0
315,1698,1991-1995,total,0
316,1698,1991-1995,apartments,0
317,1698,1991-1995,mobile,0
318,1698,1991-1995,single_attached,0
319,1698,1991-1995,single_detached,0
320,1698,1996-2000,total,0
321,1698,1996-2000,apartments,0
322,1698,1996-2000,mobile,0
323,1698,1996-2000,single_attached,0
324,1698,1996-2000,single_detached,0
325,1698,2001-2005,total,0
326,1698,2001-2005,apartments,0
327,1698,2001-2005,mobile,0
328,1698,2001-2005,single_attached,0
329,1698,2001-2005,single_detached,0
330,1698,2006-2010,total,0
331,1698,2006-2010,apartments,0
332,1698,2006-2010,mobile,0
333,1698,2006-2010,single_attached,0
334,1698,2006-2010,single_detached,0
335,1698,2011-2015,total,0
336,1698,2011-2015,apartments,0
337,1698,2011-2015,mobile,0
338,1698,2011-2015,single_attached,0
339,1698,2011-2015,single_detached,0
340,1698,2016-2020,total,0
341,1698,2016-2020,apartments,0
342,1698,2016-2020,mobile,0
343,1698,2016-2020,single_attached,0
344,1698,2016-2020,single_detached,0
345,1698,2021-2025,total,0
346,1698,2021-2025,apartments,0
347,1698,2021-2025,mobile,0
348,1698,2021-2025,single_attached,0
349,1698,2021-2025,single_detached,0
350,1765,0-2025,total,12230
351,1765,0-2025,apartments,5193
352,1765,0-2025,mobile,30
353,1765,0-2025,single_attached,834
354,1765,0-2025,single_detached,6173
355,1765,1608-1920,total,12230
356,1765,1608-1920,apartments,5193
357,1765,1608-1920,mobile,30
358,1765,1608-1920,single_attached,834
359,1765,1608-1920,single_detached,6173
360,1765,1921-1945,total,0
361,1765,1921-1945,apartments,0
362,1765,1921-1945,mobile,0
363,1765,1921-1945,single_attached,0
364,1765,1921-1945,single_detached,0
365,1765,1946-1960,total,0
366,1765,1946-1960,apartments,0
367,1765,1946-1960,mobile,0
368,1765,1946-1960,single_attached,0
369,1765,1946-1960,single_detached,0
370,1765,1961-1970,total,0
371,1765,1961-1970,apartments,0
372,1765,1961-1970,mobile,0
373,1765,1961-1970,single_attached,0
374,1765,1961-1970,single_detached,0
375,1765,1971-1980,total,0
376,1765,1971-1980,apartments,0
377,1765,1971-1980,mobile,0
378,1765,1971-1980,single_attached,0
379,1765,1971-1980,single_detached,0
380,1765,1981-1990,total,0
381,1765,1981-1990,apartments,0
382,1765,1981-1990,mobile,0
383,1765,1981-1990,single_attached,0
384,1765,1981-1990,single_detached,0
385,1765,1991-1995,total,0
386,1765,1991-1995,apartments,0
387,1765,1991-1995,mobile,0
388,1765,1991-1995,single_attached,0
389,1765,1991-1995,single_detached,0
390,1765,1996-2000,total,0
391,1765,1996-2000,apartments,0
392,1765,1996-2000,mobile,0
393,1765,1996-2000,single_attached,0
394,1765,1996-2000,single_detached,0
395,1765,2001-2005,total,0
396,1765,2001-2005,apartments,0
397,1765,2001-2005,mobile,0
398,1765,2001-2005,single_attached,0
399,1765,2001-2005,single_detached,0
400,1765,2006-2010,total,0
401,1765,2006-2010,apartments,0
402,1765,2006-2010,mobile,0
403,1765,2006-2010,single_attached,0
404,1765,2006-2010,single_detached,0
405,1765,2011-2015,total,0
406,1765,2011-2015,apartments,0
407,1765,2011-2015,mobile,0
408,1765,2011-2015,single_attached,0
409,1765,2011-2015,single_detached,0
410,1765,2016-2020,total,0
411,1765,2016-2020,apartments,0
412,1765,2016-2020,mobile,0
413,1765,2016-2020,single_attached,0
414,1765,2016-2020,single_detached,0
415,1765,2021-2025,total,0
416,1765,2021-2025,apartments,0
417,1765,2021-2025,mobile,0
418,1765,2021-2025,single_attached,0
419,1765,2021-2025,single_detached,0
420,1784,0-2025,total,18924
421,1784,0-2025,apartments,8036
422,1784,0-2025,mobile,46
423,1784,0-2025,single_attached,1290
424,1784,0-2025,single_detached,9552
425,1784,1608-1920,total,18924
426,1784,1608-1920,apartments,8036
427,1784,1608-1920,mobile,46
428,1784,1608-1920,single_attached,1290
429,1784,1608-1920,single_detached,9552
430,1784,1921-1945,total,0
431,1784,1921-1945,apartments,0
432,1784,1921-1945,mobile,0
433,1784,1921-1945,single_attached,0
434,1784,1921-1945,single_detached,0
435,1784,1946-1960,total,0
436,1784,1946-1960,apartments,0
437,1784,1946-1960,mobile,0
438,1784,1946-1960,single_attached,0
439,1784,1946-1960,single_detached,0
440,1784,1961-1970,total,0
441,1784,1961-1970,apartments,0
442,1784,1961-1970,mobile,0
443,1784,1961-1970,single_attached,0
444,1784,1961-1970,single_detached,0
445,1784,1971-1980,total,0
446,1784,1971-1980,apartments,0
447,1784,1971-1980,mobile,0
448,1784,1971-1980,single_attached,0
449,1784,1971-1980,single_detached,0
450,1784,1981-1990,total,0
451,1784,1981-1990,apartments,0
452,1784,1981-1990,mobile,0
453,1784,1981-1990,single_attached,0
454,1784,1981-1990,single_detached,0
455,1784,1991-1995,total,0
456,1784,1991-1995,apartments,0
457,1784,1991-1995,mobile,0
458,1784,1991-1995,single_attached,0
459,1784,1991-1995,single_detached,0
460,1784,1996-2000,total,0
461,1784,1996-2000,apartments,0
462,1784,1996-2000,mobile,0
463,1784,1996-2000,single_attached,0
464,1784,1996-2000,single_detached,0
465,1784,2001-2005,total,0
466,1784,2001-2005,apartments,0
467,1784,2001-2005,mobile,0
468,1784,2001-2005,single_attached,0
469,1784,2001-2005,single_detached,0
470,1784,2006-2010,total,0
471,1784,2006-2010,apartments,0
472,1784,2006-2010,mobile,0
473,1784,2006-2010,single_attached,0
474,1784,2006-2010,single_detached,0
475,1784,2011-2015,total,0
476,1784,2011-2015,apartments,0
477,1784,2011-2015,mobile,0
478,1784,2011-2015,single_attached,0
479,1784,2011-2015,single_detached,0
480,1784,2016-2020,total,0
481,1784,2016-2020,apartments,0
482,1784,2016-2020,mobile,0
483,1784,2016-2020,single_attached,0
484,1784,2016-2020,single_detached,0
485,1784,2021-2025,total,0
486,1784,2021-2025,apartments,0
487,1784,2021-2025,mobile,0
488,1784,2021-2025,single_attached,0
489,1784,2021-2025,single_detached,0
490,1831,0-2025,total,82437
491,1831,0-2025,apartments,35005
492,1831,0-2025,mobile,202
493,1831,0-2025,single_attached,5618
494,1831,0-2025,single_detached,41612
495,1831,1608-1920,total,82437
496,1831,1608-1920,apartments,35005
497,1831,1608-1920,mobile,202
498,1831,1608-1920,single_attached,5618
499,1831,1608-1920,single_detached,41612
500,1831,1921-1945,total,0
501,1831,1921-1945,apartments,0
502,1831,1921-1945,mobile,0
503,1831,1921-1945,single_attached,0
504,1831,1921-1945,single_detached,0
505,1831,1946-1960,total,0
506,1831,1946-1960,apartments,0
507,1831,1946-1960,mobile,0
508,1831,1946-1960,single_attached,0
509,1831,1946-1960,single_detached,0
510,1831,1961-1970,total,0
511,1831,1961-1970,apartments,0
512,1831,1961-1970,mobile,0
513,1831,1961-1970,single_attached,0
514,1831,1961-1970,single_detached,0
515,1831,1971-1980,total,0
516,1831,1971-1980,apartments,0
517,1831,1971-1980,mobile,0
518,1831,1971-1980,single_attached,0
519,1831,1971-1980,single_detached,0
520,1831,1981-1990,total,0
521,1831,1981-1990,apartments,0
522,1831,1981-1990,mobile,0
523,1831,1981-1990,single_attached,0
524,1831,1981-1990,single_detached,0
525,1831,1991-1995,total,0
526,1831,1991-1995,apartments,0
527,1831,1991-1995,mobile,0
528,1831,1991-1995,single_attached,0
529,1831,1991-1995,single_detached,0
530,1831,1996-2000,total,0
531,1831,1996-2000,apartments,0
532,1831,1996-2000,mobile,0
533,1831,1996-2000,single_attached,0
534,1831,1996-2000,single_detached,0
535,1831,2001-2005,total,0
536,1831,2001-2005,apartments,0
537,1831,2001-2005,mobile,0
538,1831,2001-2005,single_attached,0
539,1831,2001-2005,single_detached,0
540,1831,2006-2010,total,0
541,1831,2006-2010,apartments,0
542,1831,2006-2010,mobile,0
543,1831,2006-2010,single_attached,0
544,1831,2006-2010,single_detached,0
545,1831,2011-2015,total,0
546,1831,2011-2015,apartments,0
547,1831,2011-2015,mobile,0
548,1831,2011-2015,single_attached,0
549,1831,2011-2015,single_detached,0
550,1831,2016-2020,total,0
551,1831,2016-2020,apartments,0
552,1831,2016-2020,mobile,0
553,1831,2016-2020,single_attached,0
554,1831,2016-2020,single_detached,0
555,1831,2021-2025,total,0
556,1831,2021-2025,apartments,0
557,1831,2021-2025,mobile,0
558,1831,2021-2025,single_attached,0
559,1831,2021-2025,single_detached,0
560,1844,0-2025,total,108749
561,1844,0-2025,apartments,46178
562,1844,0-2025,mobile,266
563,1844,0-2025,single_attached,7411
564,1844,0-2025,single_detached,54894
565,1844,1608-1920,total,108749
566,1844,1608-1920,apartments,46178
567,1844,1608-1920,mobile,266
568,1844,1608-1920,single_attached,7411
569,1844,1608-1920,single_detached,54894
570,1844,1921-1945,total,0
571,1844,1921-1945,apartments,0
572,1844,1921-1945,mobile,0
573,1844,1921-1945,single_attached,0
574,1844,1921-1945,single_detached,0
575,1844,1946-1960,total,0
576,1844,1946-1960,apartments,0
577,1844,1946-1960,mobile,0
578,1844,1946-1960,single_attached,0
579,1844,1946-1960,single_detached,0
580,1844,1961-1970,total,0
581,1844,1961-1970,apartments,0
582,1844,1961-1970,mobile,0
583,1844,1961-1970,single_attached,0
584,1844,1961-1970,single_detached,0
585,1844,1971-1980,total,0
586,1844,1971-1980,apartments,0
587,1844,1971-1980,mobile,0
588,1844,1971-1980,single_attached,0
589,1844,1971-1980,single_detached,0
590,1844,1981-1990,total,0
591,1844,1981-1990,apartments,0
592,1844,1981-1990,mobile,0
593,1844,1981-1990,single_attached,0
594,1844,1981-1990,single_detached,0
595,1844,1991-1995,total,0
596,1844,1991-1995,apartments,0
597,1844,1991-1995,mobile,0
598,1844,1991-1995,single_attached,0
599,1844,1991-1995,single_detached,0
600,1844,1996-2000,total,0
601,1844,1996-2000,apartments,0
602,1844,1996-2000,mobile,0
603,1844,1996-2000,single_attached,0
604,1844,1996-2000,single_detached,0
605,1844,2001-2005,total,0
606,1844,2001-2005,apartments,0
607,1844,2001-2005,mobile,0
608,1844,2001-2005,single_attached,0
609,1844,2001-2005,single_detached,0
610,1844,2006-2010,total,0
611,1844,2006-2010,apartments,0
612,1844,2006-2010,mobile,0
613,1844,2006-2010,single_attached,0
614,1844,2006-2010,single_detached,0
615,1844,2011-2015,total,0
616,1844,2011-2015,apartments,0
617,1844,2011-2015,mobile,0
618,1844,2011-2015,single_attached,0
619,1844,2011-2015,single_detached,0
620,1844,2016-2020,total,0
621,1844,2016-2020,apartments,0
622,1844,2016-2020,mobile,0
623,1844,2016-2020,single_attached,0
624,1844,2016-2020,single_detached,0
625,1844,2021-2025,total,0
626,1844,2021-2025,apartments,0
627,1844,2021-2025,mobile,0
628,1844,2021-2025,single_attached,0
629,1844,2021-2025,single_detached,0
630,1851,0-2025,total,121961
631,1851,0-2025,apartments,51788
632,1851,0-2025,mobile,299
633,1851,0-2025,single_attached,8311
634,1851,0-2025,single_detached,61563
635,1851,1608-1920,total,121961
636,1851,1608-1920,apartments,51788
637,1851,1608-1920,mobile,299
638,1851,1608-1920,single_attached,8311
639,1851,1608-1920,single_detached,61563
640,1851,1921-1945,total,0
641,1851,1921-1945,apartments,0
642,1851,1921-1945,mobile,0
643,1851,1921-1945,single_attached,0
644,1851,1921-1945,single_detached,0
645,1851,1946-1960,total,0
646,1851,1946-1960,apartments,0
647,1851,1946-1960,mobile,0
648,1851,1946-1960,single_attached,0
649,1851,1946-1960,single_detached,0
650,1851,1961-1970,total,0
651,1851,1961-1970,apartments,0
652,1851,1961-1970,mobile,0
653,1851,1961-1970,single_attached,0
654,1851,1961-1970,single_detached,0
655,1851,1971-1980,total,0
656,1851,1971-1980,apartments,0
657,1851,1971-1980,mobile,0
658,1851,1971-1980,single_attached,0
659,1851,1971-1980,single_detached,0
660,1851,1981-1990,total,0
661,1851,1981-1990,apartments,0
662,1851,1981-1990,mobile,0
663,1851,1981-1990,single_attached,0
664,1851,1981-1990,single_detached,0
665,1851,1991-1995,total,0
666,1851,1991-1995,apartments,0
667,1851,1991-1995,mobile,0
668,1851,1991-1995,single_attached,0
669,1851,1991-1995,single_detached,0
670,1851,1996-2000,total,0
671,1851,1996-2000,apartments,0
672,1851,1996-2000,mobile,0
673,1851,1996-2000,single_attached,0
674,1851,1996-2000,single_detached,0
675,1851,2001-2005,total,0
676,1851,2001-2005,apartments,0
677,1851,2001-2005,mobile,0
678,1851,2001-2005,single_attached,0
679,1851,2001-2005,single_detached,0
680,1851,2006-2010,total,0
681,1851,2006-2010,apartments,0
682,1851,2006-2010,mobile,0
683,1851,2006-2010,single_attached,0
684,1851,2006-2010,single_detached,0
685,1851,2011-2015,total,0
686,1851,2011-2015,apartments,0
687,1851,2011-2015,mobile,0
688,1851,2011-2015,single_attached,0
689,1851,2011-2015,single_detached,0
690,1851,2016-2020,total,0
691,1851,2016-2020,apartments,0
692,1851,2016-2020,mobile,0
693,1851,2016-2020,single_attached,0
694,1851,2016-2020,single_detached,0
695,1851,2021-2025,total,0
696,1851,2021-2025,apartments,0
697,1851,2021-2025,mobile,0
698,1851,2021-2025,single_attached,0
699,1851,2021-2025,single_detached,0
700,1861,0-2025,total,155088
701,1861,0-2025,apartments,65855
702,1861,0-2025,mobile,380
703,1861,0-2025,single_attached,10569
704,1861,0-2025,single_detached,78284
705,1861,1608-1920,total,155088
706,1861,1608-1920,apartments,65855
707,1861,1608-1920,mobile,380
708,1861,1608-1920,single_attached,10569
709,1861,1608-1920,single_detached,78284
710,1861,1921-1945,total,0
711,1861,1921-1945,apartments,0
712,1861,1921-1945,mobile,0
713,1861,1921-1945,single_attached,0
714,1861,1921-1945,single_detached,0
715,1861,1946-1960,total,0
716,1861,1946-1960,apartments,0
717,1861,1946-1960,mobile,0
718,1861,1946-1960,single_attached,0
719,1861,1946-1960,single_detached,0
720,1861,1961-1970,total,0
721,1861,1961-1970,apartments,0
722,1861,1961-1970,mobile,0
723,1861,1961-1970,single_attached,0
724,1861,1961-1970,single_detached,0
725,1861,1971-1980,total,0
726,1861,1971-1980,apartments,0
727,1861,1971-1980,mobile,0
728,1861,1971-1980,single_attached,0
729,1861,1971-1980,single_detached,0
730,1861,1981-1990,total,0
731,1861,1981-1990,apartments,0
732,1861,1981-1990,mobile,0
733,1861,1981-1990,single_attached,0
734,1861,1981-1990,single_detached,0
735,1861,1991-1995,total,0
736,1861,1991-1995,apartments,0
737,1861,1991-1995,mobile,0
738,1861,1991-1995,single_attached,0
739,1861,1991-1995,single_detached,0
740,1861,1996-2000,total,0
741,1861,1996-2000,apartments,0
742,1861,1996-2000,mobile,0
743,1861,1996-2000,single_attached,0
744,1861,1996-2000,single_detached,0
745,1861,2001-2005,total,0
746,1861,2001-2005,apartments,0
747,1861,2001-2005,mobile,0
748,1861,2001-2005,single_attached,0
749,1861,2001-2005,single_detached,0
750,1861,2006-2010,total,0
751,1861,2006-2010,apartments,0
752,1861,2006-2010,mobile,0
753,1861,2006-2010,single_attached,0
754,1861,2006-2010,single_detached,0
755,1861,2011-2015,total,0
756,1861,2011-2015,apartments,0
757,1861,2011-2015,mobile,0
758,1861,2011-2015,single_attached,0
759,1861,2011-2015,single_detached,0
760,1861,2016-2020,total,0
761,1861,2016-2020,apartments,0
762,1861,2016-2020,mobile,0
763,1861,2016-2020,single_attached,0
764,1861,2016-2020,single_detached,0
765,1861,2021-2025,total,0
766,1861,2021-2025,apartments,0
767,1861,2021-2025,mobile,0
768,1861,2021-2025,single_attached,0
769,1861,2021-2025,single_detached,0
770,1871,0-2025,total,180115
771,1871,0-2025,apartments,76482
772,1871,0-2025,mobile,441
773,1871,0-2025,single_attached,12274
774,1871,0-2025,single_detached,90918
775,1871,1608-1920,total,180115
776,1871,1608-1920,apartments,76482
777,1871,1608-1920,mobile,441
778,1871,1608-1920,single_attached,12274
779,1871,1608-1920,single_detached,90918
780,1871,1921-1945,total,0
781,1871,1921-1945,apartments,0
782,1871,1921-1945,mobile,0
783,1871,1921-1945,single_attached,0
784,1871,1921-1945,single_detached,0
785,1871,1946-1960,total,0
786,1871,1946-1960,apartments,0
787,1871,1946-1960,mobile,0
788,1871,1946-1960,single_attached,0
789,1871,1946-1960,single_detached,0
790,1871,1961-1970,total,0
791,1871,1961-1970,apartments,0
792,1871,1961-1970,mobile,0
793,1871,1961-1970,single_attached,0
794,1871,1961-1970,single_detached,0
795,1871,1971-1980,total,0
796,1871,1971-1980,apartments,0
797,1871,1971-1980,mobile,0
798,1871,1971-1980,single_attached,0
799,1871,1971-1980,single_detached,0
800,1871,1981-1990,total,0
801,1871,1981-1990,apartments,0
802,1871,1981-1990,mobile,0
803,1871,1981-1990,single_attached,0
804,1871,1981-1990,single_detached,0
805,1871,1991-1995,total,0
806,1871,1991-1995,apartments,0
807,1871,1991-1995,mobile,0
808,1871,1991-1995,single_attached,0
809,1871,1991-1995,single_detached,0
810,1871,1996-2000,total,0
811,1871,1996-2000,apartments,0
812,1871,1996-2000,mobile,0
813,1871,1996-2000,single_attached,0
814,1871,1996-2000,single_detached,0
815,1871,2001-2005,total,0
816,1871,2001-2005,apartments,0
817,1871,2001-2005,mobile,0
818,1871,2001-2005,single_attached,0
819,1871,2001-2005,single_detached,0
820,1871,2006-2010,total,0
